comments,labels
Network er jei obostha r sim,CNI
23 টাকায় ৩ জিবি কত বার নেওয়া যাবে?,DP
কারেন্ট চলে গেলে আপনাদের নেটওয়ার্ক চলে যায়,CNI
"01521443719 সিমে নিবন্ধন সমস্যা , কি করি?",PR
"কারেন্ট চলে গেলে নেট থেকে না, তার আবার অফার নেবো",CNI
"আমি নিজের নেটওয়ার্কেই থাকি সবসময়,,,",CNI
"সিম কিনে ফেলে রাখছি, ইন্টারনেট ব্যবহার করা যায় না, নেটওয়ার্ক খুব বেশি খারাপ।",CNI
সচল সিমের ধামাকা অফার দেন জনাব---,DP
কক্সবাজারের মধ্যে এভেলেবেল ব্যবহার করা যাবে???,AV
ভাইরে সিমে নেটওয়ার্ক পায়না।,CNI
দারুণ অফার,DP
"কুমিল্লা, দেবিদ্বার, রামপুর গ্রাম থেকে বলছি, সেইখানে শুধু ē থাকে, নেটা নাই বললেই চলে, টেলিটক ছিলো, জিদ্দে ফালাই দিছি।",CNI
নেটওয়ার্ক ঠিক করুন। গ্রাহকের অভাব হবেনা।,CNI
নাম্বার সেম রেখে টেলিটকে আসা যায় কি ভাবে,AV
"E sim ashba Kobe apnader,,,,???",AV
আমার এলাকায় নেটওয়ার্ক নেই,CNI
টেলিটকে ইমার্জেন্সি টাকা আনার কোড কোন টি?,MFS
বা* ল করে কল করার নেটওয়ার্ক এ নাই,CNI
কতদিন বন্ধ থাকলে পাওয়া যাবে,PR
Onk onk vlo offer..tnq u telitalk,DP
আমার জিপি নাম্বার সাথে মিলেয়ে নতুন সিম পাবো,AV
বন্ধ থেকে যদি ভালো কিছু হয় তাহলে বন্ধ থাকায় ভালো,PR
এতো ভালো অফার থেকে কি লাভ,DP
নেটওয়ার্ক তো থাকেই না,CNI
আমার দেশের সিম ব্যাবহার করতে খুব ইচ্চা করে,PR
কিন্তু নেটওয়ার্ক সমস্যা হওয়ার কারনে ব্যাবহার করি না,CNI
"কত দিন পর্যন্ত সিম বন্ধ থাকলে ,,,, বন্ধ সিমের অফার উপভোগ করতে পারবো",DP
01517157002 eta bondho sim er offer ache ki kew janale valo hoto...,DP
এটা কি শুধু বন্ধ সীমের ক্ষেত্রে?,PR
আমাদের এলাকায় টেলিটকের ২ জি নেট,CNI
যদি নতুন সিম কিনি তাহলে কি ২৩ টাকার অফারটা পাবো,DP
চালু সিমের অফার দেন,DP
"আজীবন বন্ধ রাখবো,, যদিনা ক্লিয়ার নেটওয়ার্ক ও ইন্টারনেট সুবিধা পাই।",CNI
"সচল করে লাভ কি,নেটওয়ার্ক তো পায় না",CNI
"Teletalk এরকম অনেক বার বলেছেন। কোনো লাভ হয় নি,শেষ পর্যন্ত সিম বন্ধ করতে হয়েছে",PR
আমারদের এলাকায় 2G ও পায়না,NS
ফেনী তে আপনাদের নেটওয়ার্ক অনেকটা কমে গেছে।,CNI
Please upgrade your network.,CNI
কত দিন বন্ধ রাখতে হবে,PR
তাহলে আজকে থেকে সিমটা বন্ধ করে রাখি,PR
আমার সিমে অফারটি হবে কি না চেক করার অপশন আছে কি?,DP
কত মাস বন্ধ রাখতে হবে,PR
টেলিটক সিম কি ফ্রি রিপ্লেসমেন্ট করে দেয় বাংলালিংক এর মতো নাকি টাকা দিয়ে ফোর জি সিম রিপ্লেসমেন্ট করতে হয়,CCI
এ নম্বরটি বানিয়ে নেয়া যাবে?,AV
4G কখন এভেলএবল হবে?,NS
চট্টগ্রাম বোয়ালখালী কি আপনাদের কোনো কাষ্টর্মার কেয়ার আছে ??,DP
অপরাজিতা সীম সম্পর্কে জানতে চাই। কলরেট কত করে?,PR
আমি নিজের মত নম্বর সাজিয়ে কিনতে চাই। কত টাকা লাগবে?,PR
"আগে নেটওয়ার্ক সেবা নিশ্চিত করেন,আমরা দেশের টাকা দেশেই রাখব",CNI
"অফার ভাল ,নেটওয়ার্ক সার্ভিস ভালো নয়।",CNI
Network valo koren..,CNI
Offer diya ki hobe net speed e tw nai,CNI
Sim কত দিন বন্ধ থাকলে,PR
নেটওয়ার্ক এর যে অবস্থা । তাতে নেট দিয়ে কি হবে,CNI
