comments,labels
10%  cashback  offer চালু নেই???,AV
আচ্ছা আপনারা এমন কেন বলেন তো. . ডায়াল করে এমবির জন্য দিয়ে দেন মিনিট বান্ডেল. . আবার এমবি যেন না কাটে সেজন্যে এমবি উঠাইছি . . নতুন এমবি ঠিকই কাটতেছেন কিন্তু যেটা কাটার কথা ওটা আগে কাটলেন না. . থ্যাংক ইউ গ্রামীন সিম,DP
সব মিনিট প্যাকে কি পালস সুবিধা পাওয়া যায়,AV
New postpaid sim somporke jante chacchi,AV
"Grameenphone apnader recharge e auto minutes offer chassina....eta bndher upay ki?
Amr sim e recharge er drkr hoy minutes er drkr hoyna.... Sobsomoy ki sobai sob jante pare nki j kto recharge e kon minutes offer dye rakhsen! Khub e biroktikor apnader ei auto recharge offergulo....",AV
এমবি রিচার্জ করলাম কিন্তু কোনো অনলাইন গেমস খেলতে পারছি না,CNI
Recharge offer ki???,AV
Grameen sim ar AVice kotto,MFS
নেটওয়ার্ক সমস্যা,CNI
Paygo internet অফ করবো কিভাবে?,AV
বন্ধ সংযোগে কোন অফার আছে?,AV
কিভাবে গ্রামীনফোনে এসএমএস কিনবো,AV
"Onnano sim a 25 tky 500 sms paoya jay, sekhane apnader sim a 87 tk kno lagbe? Age to 29 tk lagto.",AV
Gp  te ki only Whatsapp/viver/Skype ba onno kono calling apps er jonno ki data pack ache?,AV
My gp theke balance transfer kora jabe,AV
কাস্টমার কেয়ারে ফোন নাম্বার টা বলেন,AV
নেটের দাম আকাশ সমান বয়কট করলাম গ্রামিন ফোন🖕,MFS
"পেইজবুকের জন্য মান্থলি কোন অফার আছে কি, আপনাদের।",AV
গ্রামিন সিম এ ৩৯ টাকায় ৬০০  মিনিট  ৩০ দিনের জন্য এটা কি সত্য?,AV
Ami apnader page a nock disi bt ora otp cacce 01326807498 a bt ami sim use kori 01740794506 a.... Ami 01740794506 a mb nilam bt mb not working . Ata keno hocce amk solve kore den pblm ta. Kindly fast,CNI
০১৭১১ সিরিজ এর সিম কোথায় পাওয়া যাবে এমন একটা লোকেশন দেন🤔,AV
আচ্ছা আপনাদের  Grameenphone sim এর বন্ধ অফার কি চলছে এখুন এবং আমি কি ভাবে বুঝবো যে সিমটি বন্ধ হিসেবে গন্ন হয়েছে।,AV
Family package ase?,AV
"৮ জিবি ১০০ টাকা ৭ দিন,, এটা কি কোডের মাধ্যমে কিনবো?",AV
"গ্রমীন সিমে রিফান্ডের নিয়মাবলি কি, এবং কোন কোন প্যাক রিফান্ড নেওয়া যায়।",AV
Sim othanor jonno kato taka charge dite hoi akhon???,AV
"আমার ব্যালান্স আছে ১৪০০+
আমি পোস্টপেইডে গেলে আমার লিমিট কি ১৪০০+ হবে নাকি ৪০০ হবে।",MFS
নেটওয়ার্ক সমস্যা 😒,CNI
কাল রাতে ই ১৬শ এমবি + এমবি পাইছি যা এক ঘন্টাও চলে নাই!!  ওই ২৫০ এমবি দিয়া কি হবো!!!,CNI
